[2023-06-13 07:16:34] [class-ss-plugin.php:305] Received request to start generating a static archive
[2023-06-13 07:16:34] [class-ss-archive-creation-job.php:77] Starting a job; no job is presently running
[2023-06-13 07:16:34] [class-ss-archive-creation-job.php:78] Here's our task list: setup, fetch_urls, transfer_files_locally, wrapup
[2023-06-13 07:16:34] [class-ss-archive-creation-job.php:92] Pushing first task to queue: setup
[2023-06-13 07:16:36] [class-ss-archive-creation-job.php:125] Current task: setup
[2023-06-13 07:16:36] [class-ss-archive-creation-job.php:141] Performing task: setup
[2023-06-13 07:16:36] [class-ss-task.php:44] Status message: [setup] Setting up
[2023-06-13 07:16:38] [class-ss-setup-task.php:32] Creating archive directory: C:\xampp\htdocs\branix\wp-content\plugins\simply-static/static-files/simply-static-1-1686640594\
[2023-06-13 07:16:38] [class-ss-setup-task.php:77] Adding origin URL to queue: http://localhost:8080/branix/
[2023-06-13 07:16:38] [class-yoast-integration.php:41] Adding sitemap URL to queue: http://localhost:8080/branix/sitemap.xml
[2023-06-13 07:16:38] [class-yoast-integration.php:41] Adding sitemap URL to queue: http://localhost:8080/branix/sitemap_index.xml
[2023-06-13 07:16:39] [class-elementor-integration.php:143] Adding elementor bundle asset to queue: http://localhost:8080/branix/wp-content/plugins/elementor/assets/js/1bef795bdeaafc779b19.bundle.min.js
[2023-06-13 07:16:39] [class-elementor-integration.php:143] Adding elementor bundle asset to queue: http://localhost:8080/branix/wp-content/plugins/elementor/assets/js/7fada1a61d72da6d46ab.bundle.min.js
[2023-06-13 07:16:39] [class-elementor-integration.php:143] Adding elementor bundle asset to queue: http://localhost:8080/branix/wp-content/plugins/elementor/assets/js/accordion.8799675460c73eb48972.bundle.min.js
[2023-06-13 07:16:39] [class-elementor-integration.php:143] Adding elementor bundle asset to queue: http://localhost:8080/branix/wp-content/plugins/elementor/assets/js/adadcfdaada40ff3919c.bundle.min.js
[2023-06-13 07:16:39] [class-elementor-integration.php:143] Adding elementor bundle asset to queue: http://localhost:8080/branix/wp-content/plugins/elementor/assets/js/alert.cbc2a0fee74ee3ed0419.bundle.min.js
[2023-06-13 07:16:39] [class-elementor-integration.php:143] Adding elementor bundle asset to queue: http://localhost:8080/branix/wp-content/plugins/elementor/assets/js/be69c0d71c69e96d6a96.bundle.min.js
[2023-06-13 07:16:39] [class-elementor-integration.php:143] Adding elementor bundle asset to queue: http://localhost:8080/branix/wp-content/plugins/elementor/assets/js/container.3e03f0b480c65f79dee6.bundle.min.js
[2023-06-13 07:16:39] [class-elementor-integration.php:143] Adding elementor bundle asset to queue: http://localhost:8080/branix/wp-content/plugins/elementor/assets/js/counter.02cef29c589e742d4c8c.bundle.min.js
[2023-06-13 07:16:39] [class-elementor-integration.php:143] Adding elementor bundle asset to queue: http://localhost:8080/branix/wp-content/plugins/elementor/assets/js/f44354f947a948ef36c9.bundle.min.js
[2023-06-13 07:16:39] [class-elementor-integration.php:143] Adding elementor bundle asset to queue: http://localhost:8080/branix/wp-content/plugins/elementor/assets/js/image-carousel.4455c6362492d9067512.bundle.min.js
[2023-06-13 07:16:39] [class-elementor-integration.php:143] Adding elementor bundle asset to queue: http://localhost:8080/branix/wp-content/plugins/elementor/assets/js/kit-library.122bb1346ccb087862ae.bundle.min.js
[2023-06-13 07:16:39] [class-elementor-integration.php:143] Adding elementor bundle asset to queue: http://localhost:8080/branix/wp-content/plugins/elementor/assets/js/lightbox.db6cea8ed8ffdf265764.bundle.min.js
[2023-06-13 07:16:39] [class-elementor-integration.php:143] Adding elementor bundle asset to queue: http://localhost:8080/branix/wp-content/plugins/elementor/assets/js/onboarding.6aace3f2fdf9ebb9bde5.bundle.min.js
[2023-06-13 07:16:39] [class-elementor-integration.php:143] Adding elementor bundle asset to queue: http://localhost:8080/branix/wp-content/plugins/elementor/assets/js/progress.ca55d33bb06cee4e6f02.bundle.min.js
[2023-06-13 07:16:39] [class-elementor-integration.php:143] Adding elementor bundle asset to queue: http://localhost:8080/branix/wp-content/plugins/elementor/assets/js/tabs.c2af5be7f9cb3cdcf3d5.bundle.min.js
[2023-06-13 07:16:39] [class-elementor-integration.php:143] Adding elementor bundle asset to queue: http://localhost:8080/branix/wp-content/plugins/elementor/assets/js/text-editor.2c35aafbe5bf0e127950.bundle.min.js
[2023-06-13 07:16:39] [class-elementor-integration.php:143] Adding elementor bundle asset to queue: http://localhost:8080/branix/wp-content/plugins/elementor/assets/js/text-path.b50b3e74488a4e302613.bundle.min.js
[2023-06-13 07:16:39] [class-elementor-integration.php:143] Adding elementor bundle asset to queue: http://localhost:8080/branix/wp-content/plugins/elementor/assets/js/toggle.31881477c45ff5cf9d4d.bundle.min.js
[2023-06-13 07:16:39] [class-elementor-integration.php:143] Adding elementor bundle asset to queue: http://localhost:8080/branix/wp-content/plugins/elementor/assets/js/video.d86bfd0676264945e968.bundle.min.js
[2023-06-13 07:16:39] [class-elementor-integration.php:143] Adding elementor bundle asset to queue: http://localhost:8080/branix/wp-content/plugins/elementor/assets/js/wp-audio.75f0ced143febb8cd31a.bundle.min.js
[2023-06-13 07:16:39] [class-elementor-integration.php:143] Adding elementor bundle asset to queue: http://localhost:8080/branix/wp-content/plugins/elementor/assets/lib/animate.css/animate-config.json
[2023-06-13 07:16:39] [class-elementor-integration.php:143] Adding elementor bundle asset to queue: http://localhost:8080/branix/wp-content/plugins/elementor/assets/lib/animate.css/animate.css
[2023-06-13 07:16:39] [class-elementor-integration.php:143] Adding elementor bundle asset to queue: http://localhost:8080/branix/wp-content/plugins/elementor/assets/lib/animate.css/animate.min.css
[2023-06-13 07:16:39] [class-elementor-integration.php:143] Adding elementor bundle asset to queue: http://localhost:8080/branix/wp-content/plugins/elementor/assets/lib/animations/animations.min.css
[2023-06-13 07:16:39] [class-elementor-integration.php:143] Adding elementor bundle asset to queue: http://localhost:8080/branix/wp-content/plugins/elementor/assets/lib/backbone/backbone.marionette.js
